Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2001-01-02,4018.8798829999996,-0.9621,0.119,0.817,0.064,3953.219971,4028.570068,3929.3701170000004,0.0
2001-01-03,4060.0200200000004,0.6322,0.084,0.817,0.098,3977.580078,4067.6599119999996,3977.580078,0.0
2001-01-04,4115.370117,0.6648,0.077,0.843,0.08,4180.970215,4180.970215,4109.549805,0.0
2001-01-05,4183.72998,0.9032,0.105,0.746,0.149,4116.339844,4195.009765999999,4115.350098,0.0
2001-01-08,4120.430176,-0.9638,0.119,0.855,0.026,4164.759765999999,4206.720215,4101.529785,0.0
2001-01-09,4125.310059,-0.9559,0.121,0.822,0.056,4114.740234000001,4166.839844,4101.009765999999,0.0
2001-01-10,4047.639893,-0.5719,0.227,0.773,0.0,4151.580078,4155.859863000001,4035.4399409999996,0.0
2001-01-23,4296.689941,0.9295,0.036,0.874,0.09,4277.830078,4321.75,4272.870117,0.0
2001-01-24,4326.419922,-0.9039,0.096,0.864,0.04,4320.509765999999,4339.410156,4295.709961,0.0
2001-01-25,4330.220215,-0.9854,0.137,0.792,0.071,4327.839844,4341.330078,4273.700195,0.0
2001-01-29,4234.569824,0.9697,0.041,0.829,0.129,4158.859863000001,4262.759765999999,4158.859863000001,0.0
2001-01-30,4372.040039,-0.858,0.117,0.808,0.075,4269.410156,4373.220215,4256.759765999999,0.0
2001-01-31,4326.720215,-0.5591,0.096,0.843,0.061,4367.580078,4409.330078,4322.680176,0.0
2001-02-01,4286.109863000001,-0.8302,0.105,0.829,0.066,4303.129883,4355.390136999999,4230.169922,0.0
2001-02-02,4352.259765999999,0.9693,0.068,0.714,0.218,4280.959961,4373.399902,4280.959961,0.0
2001-02-05,4370.470215,0.5267,0.118,0.74,0.142,4337.52002,4397.189941,4337.52002,0.0
2001-02-06,4375.290039,0.765,0.064,0.832,0.104,4392.240234000001,4404.669922,4369.930176,0.0
2001-02-07,4312.930176,0.8388,0.06,0.813,0.127,4376.919922,4379.220215,4303.279785,0.0
2001-02-08,4381.189941,0.8924,0.046,0.826,0.128,4293.870117,4387.850098,4290.879883,0.0
2001-02-09,4397.330078,0.9647,0.069,0.777,0.154,4395.439941,4436.47998,4387.990234000001,0.0
2001-02-12,4406.299805,-0.9368,0.139,0.84,0.021,4429.910156,4446.080078,4389.02002,0.0
2001-02-13,4363.049805,-0.5802,0.141,0.744,0.115,4437.319824,4440.759765999999,4354.100098,0.0
2001-02-14,4363.109863000001,0.5293,0.05,0.908,0.042,4350.330078,4375.509765999999,4320.890136999999,0.0
2001-02-15,4437.990234000001,-0.6973,0.086,0.86,0.055,4372.600098,4459.189941,4371.950195,0.0
2001-02-16,4330.319824,-0.9628,0.19,0.7,0.111,4458.72998,4462.109863000001,4315.950195,0.0
2001-02-19,4350.649902,-0.5994,0.088,0.855,0.057,4363.790039,4378.060059,4302.100098,0.0
2001-02-21,4302.22998,0.9673,0.044,0.821,0.135,4338.310059,4362.5,4285.189941,0.0
2001-02-22,4262.549805,-0.9374,0.127,0.82,0.052,4252.27002,4286.629883,4190.959961,0.0
2001-02-23,4122.160156,0.498,0.095,0.801,0.104,4261.810059,4277.359863000001,4118.089844,0.0
2001-02-26,4112.689941,-0.961,0.137,0.818,0.045,4168.709961,4174.850098,4074.1201170000004,0.0
2001-02-27,4069.679932,-0.4588,0.096,0.831,0.073,4140.629883,4156.029785,4020.679932,0.0
2001-02-28,4247.040039,-0.815,0.109,0.834,0.056,4070.3701170000004,4264.02002,4056.399902,0.0
2001-03-01,4271.649902,0.9442,0.042,0.821,0.137,4288.22998,4386.97998,4215.27002,0.0
2001-03-02,4095.1599119999996,0.0,0.0,1.0,0.0,4323.180176,4341.669922,4077.419922,0.0
2001-03-05,3998.1201170000004,0.4767,0.0,0.392,0.608,4073.7299799999996,4127.120117,3947.709961,0.0
2001-03-09,3881.959961,0.0,0.0,1.0,0.0,3986.820068,3986.820068,3821.5900880000004,0.0
2001-03-13,3540.649902,-0.1531,0.444,0.556,0.0,3605.530029,3777.4799799999996,3436.75,0.0
2001-03-14,3725.030029,-0.8992,0.073,0.906,0.021,3508.1298829999996,3757.1201170000004,3493.9399409999996,0.0
2001-03-15,3819.860107,-0.4592,0.061,0.885,0.054,3666.1999509999996,3823.780029,3661.8400880000004,0.0
2001-03-16,3745.73999,0.0,0.0,1.0,0.0,3752.360107,3867.469971,3696.5200200000004,0.0
2001-03-19,3722.48999,0.7342,0.079,0.804,0.117,3728.51001,3774.6899409999996,3680.26001,0.0
2001-03-20,3672.399902,0.2263,0.096,0.805,0.099,3736.0900880000004,3740.070068,3644.51001,0.0
2001-03-21,3791.070068,-0.9491,0.123,0.839,0.038,3633.219971,3801.780029,3618.139893,0.0
2001-03-22,3713.969971,-0.9389,0.153,0.777,0.07,3785.959961,3818.030029,3708.8000490000004,0.0
2001-03-23,3635.280029,0.9786,0.062,0.796,0.142,3735.51001,3743.830078,3561.01001,0.0
2001-03-26,3636.320068,0.2478,0.059,0.858,0.083,3640.469971,3654.040039,3600.389893,0.0
2001-03-27,3694.820068,-0.9305,0.109,0.867,0.024,3634.4799799999996,3712.2700200000004,3631.290039,0.0
2001-03-28,3788.209961,-0.9737,0.143,0.81,0.047,3736.540039,3792.76001,3736.540039,0.0
2001-03-29,3751.5600590000004,-0.9321,0.114,0.841,0.044,3739.6298829999996,3799.679932,3721.4499509999996,0.0
2001-03-30,3604.3798829999996,0.8606,0.1,0.771,0.129,3714.110107,3723.7299799999996,3589.929932,0.0
2001-04-04,3565.649902,-0.5673,0.092,0.839,0.069,3558.4799799999996,3577.25,3511.1201170000004,0.0
2001-04-06,3576.0,0.8169,0.029,0.888,0.083,3663.73999,3676.820068,3558.1298829999996,0.0
2001-04-09,3544.080078,-0.4156,0.083,0.842,0.075,3570.530029,3579.23999,3502.4399409999996,0.0
2001-04-10,3458.389893,-0.8012,0.097,0.845,0.058,3542.4399409999996,3542.4399409999996,3342.110107,0.0
2001-04-11,3325.459961,-0.7067,0.08,0.867,0.052,3476.4099119999996,3481.149902,3298.1201170000004,0.0
2001-04-12,3183.77002,-0.471,0.078,0.867,0.055,3254.52002,3264.570068,3120.1298829999996,0.0
2001-04-16,3251.6201170000004,-0.8673,0.098,0.855,0.047,3172.149902,3258.439941,3096.51001,0.0
2001-04-17,3312.290039,-0.8665,0.119,0.815,0.066,3231.939941,3331.780029,3220.649902,0.0
2001-04-18,3438.75,0.9543,0.055,0.808,0.136,3311.199951,3442.649902,3311.199951,0.0
2001-04-19,3574.080078,0.886,0.047,0.841,0.112,3552.169922,3621.030029,3471.030029,0.0
2001-04-20,3583.040039,0.8392,0.081,0.8,0.119,3620.899902,3620.899902,3523.73999,0.0
2001-04-23,3587.01001,-0.9745,0.143,0.819,0.038,3583.419922,3637.360107,3561.959961,0.0
2001-04-24,3589.98999,-0.5267,0.089,0.864,0.047,3547.2299799999996,3593.8400880000004,3526.360107,0.0
2001-04-25,3600.830078,0.7891,0.061,0.842,0.097,3586.9399409999996,3639.110107,3569.709961,0.0
2001-04-26,3557.1899409999996,0.9222,0.036,0.85,0.114,3649.360107,3651.790039,3547.459961,0.0
2001-04-27,3422.76001,0.7887,0.1,0.763,0.136,3389.219971,3458.7700200000004,3357.830078,0.0
2001-05-02,3538.419922,-0.8674,0.143,0.766,0.091,3565.530029,3586.639893,3530.25,0.0
2001-05-03,3494.4799799999996,0.858,0.066,0.793,0.141,3528.6999509999996,3551.8000490000004,3479.8100590000004,0.0
2001-05-04,3514.5900880000004,0.9363,0.021,0.85,0.129,3471.9499509999996,3521.919922,3465.5,0.0
2001-05-07,3544.8100590000004,-0.9216,0.142,0.765,0.093,3562.969971,3573.1899409999996,3539.459961,0.0
2001-05-08,3580.3701170000004,-0.9625,0.14,0.802,0.058,3544.860107,3587.070068,3544.860107,0.0
2001-05-09,3586.580078,-0.4404,0.11,0.792,0.098,3580.3701170000004,3629.649902,3569.139893,0.0
2001-05-10,3568.2700200000004,-0.1414,0.098,0.786,0.117,3586.580078,3588.9499509999996,3550.0500490000004,0.0
2001-05-11,3559.7700200000004,-0.8379,0.117,0.779,0.104,3564.649902,3577.790039,3545.1899409999996,0.0
2001-05-14,3568.929932,0.9295,0.093,0.772,0.136,3552.5500490000004,3577.280029,3536.570068,0.0
